"Time","DC Machine1:Armature current","DC Machine1:Field current","DC Machine1:Rotational speed","DC Machine1:Rotor position","DC Machine1:Electrical torque","Vm2:Measured voltage"
0.8409375,136.17984662065192,3.5000000000000004,301.56733319964593,-0.94278471025383981,199.39800080039061,680
0.84093750000002399,136.17984662607591,3.5000000000000004,301.56733319963604,-0.94278471024660793,199.39800080833257,680
0.84124999999997618,205.89600408931133,3.5000000000000022,301.50408418085624,-0.84855818927451299,301.47817468588374,680
0.84125000000000005,205.89600409456267,3.5000000000000022,301.50408418085635,-0.84855818926731619,301.4781746935729,680
0.84156249999999999,273.67802639184475,3.5000000000000013,301.56912930871931,-0.75433128754395828,400.72633858624596,680
0.84156250000002397,273.67802639697192,3.5000000000000013,301.56912930872915,-0.7543312875367264,400.72633859375327,680
0.84166911999998806,296.36098848382761,3.5000000000000009,301.6200298185297,-0.72217540168215899,433.93930956257327,680
0.84166912000001204,296.36098848890407,3.5000000000000009,301.62002981854278,-0.72217540167492589,433.93930957000634,-680
0.84174999999997613,203.82098470101053,3.5000000000000009,301.64173616224849,-0.69777919462572802,298.43987843341534,-680
0.84175,203.82098467379859,3.5000000000000009,301.64173616224832,-0.69777919461852789,298.43987839357095,-680
0.84183087999998807,111.95216297809901,3.4999999999999987,301.61890984136693,-0.67338299175252947,163.92320917570419,-680
0.84183088000001205,111.95216295095952,3.4999999999999987,301.61890984135357,-0.67338299174529648,163.92320913596586,680
0.84193750000000001,136.17984907845815,3.4999999999999987,301.56733321615798,-0.64122727331600438,199.39800439917303,680
0.84193750000002399,136.17984908388215,3.4999999999999987,301.56733321614814,-0.64122727330877261,199.39800440711497,680
0.84224999999997607,205.8960064763919,3.4999999999999987,301.50408420129412,-0.54700075233090328,301.47817818110764,680
0.84225000000000005,205.89600648166765,3.4999999999999987,301.50408420129423,-0.54700075232367296,301.47817818883249,680
0.84256249999999999,273.67802804580117,3.4999999999999991,301.56912933494613,-0.4527738505929067,400.72634100801082,680
0.84256250000002397,273.67802805092839,3.4999999999999991,301.56912933495596,-0.45277385058567482,400.72634101551824,680
0.84266911999998806,296.36099018096002,3.4999999999999987,301.62002984575372,-0.42061796472830437,433.93931204755751,680
0.84266912000001204,296.36099018603642,3.4999999999999987,301.62002984576674,-0.42061796472107127,433.93931205499052,-680
